Topic,Count,Name,Representation,Representative_Docs,Representative_Docs_Titles
-1,2189,-1_old_mysterious_friends_father,"['old', 'mysterious', 'friends', 'father', 'help', 'death', 'daughter', 'dead', 'school', 'discover']","['Amber dreams of escaping her small town existence and persuades her friends to accompany her to find an apartment in the big city. When their transportation breaks down, she and her friends gratefully accept a ride in the back of a semi. But when the driver refuses to stop and they discover the cargo is hundreds of cartons of blood, they panic. Their panic turns to terror when the truck disgorges them into a dark, abandoned warehouse where blood-thirsty creatures learn to hunt human prey, which, the friends realize, is what they now are... Written by Svetlio Svilenov', ""When Chance (Brian Presley) returns home after five years in jail, he is determined to escape his past, start a new life and make peace with his father, (Ed Harris, Golden Globe® winner), who is the head of the Aryan Brotherhood prison gang and serving a life sentence for murder. Upon his release, his dreams of a crime-free future begin to disintegrate when he is forced to assume his best friend's outrageous debt to a local mobster. Despite being thrust back into a world of organized fighting, drug dealing and ties to corrupt police agents, Chance falls in love with Pearl (Academy Award® nominee Taraji P. Henson) and the prospect of living a normal life seems almost within reach. But will he be able to escape the crimes of his father and his past?"", ""A supernatural thriller, laced by flashbacks, and set in Canada’s North-West, “The Stranger” turns on the mysterious titular figure of Martin, who comes to a small quiet town seeking to kill his wife Ana who suffers from a very dangerous decease that makes her addicted to human blood - just like himself-. However, when he arrives to the town, he discovers that Ana has been dead for a couple of years and decides to commit suicide to definitely eradicate this dangerous decease, but, before he can do it, Martin's brutally attacked by three local thugs led by Caleb, the son of a corrupt police lieutenant, and the incident suddenly starts a snowball that will plunge the community into a bloodbath.""]",
10,114,10_christmas_wedding_love_perfect,"['christmas', 'wedding', 'love', 'perfect', 'romance', 'holiday', 'relationship', 'boyfriend', 'help', 'married']","[""Mia Meijer gets ready for the Christmas Market Dutch Bake-Off and suspects that her grandmother, Ann, will walk away with the cherished Golden Rolling Pin thanks to her Kerststol, a traditional Dutch fruited Christmas bread. But Mia's world is rocked when she learns that Ann was having financial troubles and had to sell the land deed to the Windmill Way property in her family for generations. Making matters worse, the buyer is Mia's former boyfriend, property developer Brady Schaltz, who must let Mia and Ann know the Meijer family-owned heritage Dutch sawmill, renowned for the past 90 years for its fine millwork and beautiful wooden furniture, will be torn down to put up a luxurious resort."", 'A struggling chef living in a trendy New York borough, Jessica took over a small restaurant where she used to work as a waitress, but it’s growing tough to make ends meet. Prince Jack, who’s in the city for his family’s annual Christmas charity dinner, finds himself in need of a last-minute chef for the royal event when he meets Jessica. As their relationship evolves and a romance blooms, so do the obstacles. But as the event arrives, she decides to go through with the dinner, and may just get the best Christmas present of all… love.', ""Straight-laced Jordan (Martin) is about to marry Peter (Snedeker), a clean-cut ambitious attorney. Before she walks down the aisle, Jordan and her best friends, Claire (Adrienne Frantz) and Jessica (Daphnee Duplaix), head to Vegas for a bachelorette party, because what happens in Vegas stays in Vegas, right? But when Jordan wakes up the next morning unable to recall the night before, she panics when she finds she’s in movie star Matt's (Ethan Erickson) hotel suite with a gigantic diamond on her finger and a marriage certificate lying nearby. Before Jordan can have the marriage annulled and put this nightmare behind her, the impromptu wedding explodes into a publicity stunt fueled by Matt’s manager Eric (Bruce Nozick) to promote his latest movie. With her wedding day approaching, Jordan finds herself more confused than ever when she starts falling in love with the movie star she’s married to instead of the fiancé she thought was her perfect match.""]",Christmas on Windmill Way | A Christmas Princess | I Married Who?
11,100,11_fighter_agent_brother_cho,"['fighter', 'agent', 'brother', 'cho', 'fight', 'championship', 'police', 'crime', 'gangster', 'master']","['When Karate champion Michael Rivers wins the last tournament of his career, shady businessman Ron Hall offers him the opportunity to fight in an illegal Kumite in Bulgaria against the world’s best martial artists.  When Michael declines, Hall has his daughter kidnapped and, in order to rescue her, Rivers is left with no choice but to compete in the deadly tournament. Arriving in Bulgaria, he finds out that he is not the only fighter whose loved one was taken. Rivers enlists the help of trainers Master Loren, and Julie Jackson but will it be enough for him to win the tournament and save his daughter’s life?', 'Working as a prostitute since she was 16, Kam has witnessed the highs and lows of Hong Kong over the decades.  Kamis now a “madam” who manages a stable of high-end prostitutes, entertaining and hosting parties for rich men. She has seen it all. On the surface she embraces the prosperity of the ‘New HK’ but like countless middle-class HK citizens, she laments the lossof the old Hong Kong that once belonged to the people.  Over the hill mob boss, Gordon, was put behind bars before the Hong Kong Handover in 1997. Gordon’s appearance and mindset are still stuck in the colonial past. Recently released from prison, he is unable to cope with the New Hong Kong. His sole source of solace is his old flame, Kam.', ""The 2024 Royal Rumble is the upcoming 37th annual Royal Rumble professional wrestling pay-per-view and livestreaming event produced by WWE. It will be held for wrestlers from the promotion's Raw and SmackDown brand divisions. The event will take place on Saturday, January 27, 2024, at Tropicana Field in St. Petersburg, Florida. It will be the second Royal Rumble to be held at the stadium after the 2021 event, though the first with ticketed fans in attendance.  Traditionally, the Royal Rumble match winner receives a world championship match at that year's WrestleMania. For the 2024 event, the winners of both the men's and women's matches receive a choice of which championship to challenge for at WrestleMania XL. The men can choose to challenge for either Raw's World Heavyweight Championship or SmackDown's Undisputed WWE Universal Championship, while the women have the choice between Raw's Women's World Championship and SmackDown's WWE Women's Championship.""]",The Last Kumite | Golden Chickensss | WWE Royal Rumble 2024
12,99,12_zombies_horror_friends_zombie,"['zombies', 'horror', 'friends', 'zombie', 'school', 'save', 'fight', 'evil', 'flesh', 'detention']","[""Three best friends - Alex, Az and Jim - head to Ibiza for their first lad's holiday. Unfortunately, tagging along is Alex's unimpressed ex-girlfriend Ellie. Arriving on the island, the lads dump Ellie with Alex's sister Liz, and her friend Zara, and head to San Antonio to start their week of sun, sea and debauchery. Soon they end up in a club, run by local gangster Karl, where the attractions aren't all alive - they're zombies! Due to Jim's drunken antics the zombies escape, and soon all hell breaks loose and no one on the party island is safe."", 'From the land of early Peter Jackson comes another Braindead movie in bad taste. It’s the third day of shooting the low budget horror ‘Tonight They Come’ on location in the wilds of New Zealand. Director SMP is already beside himself having to work with a self-obsessed leading man and a bimbo actress when into his line of fire comes a new runner, wannabe screenwriter Wesley Pennington. Clearly an accident-prone nerd, Wesley nevertheless tries his best to fit in with the crazed cast and demented crew while falling head over heels for Susan, the set caterer. But something nasty has entered the local water supply and suddenly the zombie extras start acting like genuine members of the living dead, gore stunts looks even more authentic and actual severed limbs fly. Reel life turns real as Wesley attempts to save the day while ensuring his latest script will get made.', 'In 1977 a group of young, horny, out of control Christians are spending a fun filled weekend at the mountain lakeside Happy Day Bible Camp. One by one these youthful sinners pay a BLOODY penance for their misdeeds. Flash forward 7 years, when another youth group of Bible toters return, lead by ""Father Richard Cummings"" (Reggie Bannister), ""Sister Mary Chopper,"" (Tim Sullivan) goes bloody murder after the camp - emphasis on CAMP - with stand out performances by folks like Gigi Bannister, Jessica Sonneborn, Troy Guthrie, Deborah Venegas, Jay Fields, and Jeff Dylan Graham. In the end, Bannister and Troup must face down the a transvestite serial killing nun in a fight to the death, and call upon the higher graces of the infamous Ron Jeremy as ""Jesus"" guide them through! A hilarious campy equal opportunity offensive film that will have you DIE laughing!']",Ibiza Undead | I Survived a Zombie Holocaust | Bloody Bloody Bible Camp
13,83,13_father_son_parents_decides,"['father', 'son', 'parents', 'decides', 'birthday', 'summer', 'mom', 'little', 'mother', 'brothers']","['Simona is a single mother in her early ‘40s who is wholly devoted to her son, Filippo. To get over her insecurities as a parent and make her son happy on his eighth birthday, she decides to throw him a birthday party in their small flat and invite over his school friends and their parents. For Simona, this birthday is about to pose quite the surprising dilemma between allowing her son to embrace his true self and a mother’s fierce desire to protect her child from their potentially cruel surroundings. This is the last conundrum she was expecting to have to face on a day that is already rife with anxiety.', 'Eddie, Dov, Yvan and the others ... Our warm friends have migrated from the moribund Sentier to the flourishing suburb of Aubervilliers ... Where the old Jewish entrepreneurs left the ground to young courageous and dynamic Chinese wholesalers ...  The little band is as close to each other as in previous episodes, and life goes on at the mercy of small family events and business.  Dov still seems frivolous, enterprising Eddie, chilled Yvan, casual Karine, resolute Sandra, naive Chochana, irresponsible Serge and mythomaniac. As for Patrick, he is in love and the happy elected is far from easy to access.  Everything would be fine until a bad wind brings its share of adversity seriously compromising the cohesion of the group.  Will they succumb under the storm to the turmoil, or, once again, by mutual aid, cunning and skill, will they triumph over the crisis with panache?', 'She was sweet, she was cute. But just before her 14th birthday, Daddy’s little princess mutates into a petulant pubescent nightmare. Journalist Hannes Wenger decides to take a time-out from work to guide his daughter Carla through this difficult phase in her life and, above all, to keep her away from alcohol, boys and other temptations. This is easier said than done, however, and when his wife Sara goes back to work, Hannes proves himself entirely inept at raising a teenager. Whether it’s Carla’s birthday party, her mobile phone contract or her first time, Hannes makes one awkward blunder after another. The fact that other teens have embarrassing fathers provides only faint consolation; Hannes’ best friend is a war reporter named Holger who prefers to be shot at in war zones rather than stay at home and be driven crazy by his own teenage nightmare.']",Parents in Progress | Would I Lie to You? 3 | Teenosaurus Rex
14,80,14_war_soldiers_enemy_german,"['war', 'soldiers', 'enemy', 'german', 'world war', 'nazi', 'lines', 'battle', 'war ii', 'mission']","['Inspired by the real-life German special operations unit KG 200 that shot down, repaired, and flew Allied aircraft as Trojan horses, ""Wolf Hound"" takes place in 1944 German-occupied France and follows the daring exploits of Jewish-American fighter pilot Captain David Holden. Ambushed behind enemy lines, Holden must rescue a captured B-17 Flying Fortress crew, evade a ruthless enemy stalking him at every turn, and foil a plot that could completely alter the outcome of World War II.', 'In the frozen, war torn landscape of occupied Poland during World War II, a crack team of allied commandos are sent on a deadly mission behind enemy lines to extract a rocket scientist from the hands of the Nazis.', 'In November of 1918 as World War I was ending, a unit of American soldiers goes behind enemy lines to find a lost platoon of African American soldiers.']",Wolf Hound | Enemy Lines | The Great War
15,79,15_school_high school_friends_senior,"['school', 'high school', 'friends', 'senior', 'college', 'surf', 'best', 'trip', 'party', 'virginity']","['Four high school friends plan to ride out their senior year taking easy classes, including a program for housing foreign exchange students and eventually all attending Ohio State. Hurdles befall each of the four: grades, higher aspirations, love. Is it the Foreign Exchange students that learn from their host or the hosts that do more of the learning?', ""A rag-tag bunch of seniors, complete outsiders at their surf-crazed Laguna Beach High School, decide to crash the biggest team surf contest. In order to prevail, however, they must do one important thing...learn to surf! We're taking your classic Cinderella story into the world of surfing, complete with hi-jinx and the aesthetic beauty of surf mecca Costa Rica, our spectacular set location"", 'Best friends, Neil and Gilbert start their senior year of high school with high hopes and aspirations. Neil has always fantasized about being cool enough to date his long time crush and Gilbert has always dreamed of being a social media super star. After what is, by all accounts, a very disappointing and embarrassing first day in school, Neil makes a magical wish to be cool just at the magical moment when the clock strikes 11:11. The next morning, Neil wakes up to a reality that is straight from the comics of his dreams.']",Foreign Exchange | Surf School | Supercool
16,76,16_love_relationships_relationship_roy,"['love', 'relationships', 'relationship', 'roy', 'old', 'married', 'falls', 'student', 'past', 'vivien']","['Shaw Landon has loved Rule Archer from the moment she laid eyes on him. Rule, a fiery-tempered rebel tattoo artist, doesn’t have time for a good girl pre-med student like Shaw — even if she’s the only one who can see the person he truly is. She lives by other people’s rules; he makes his own. But a short skirt, too many birthday cocktails, and spilled secrets lead to a night neither can forget. Now, Shaw and Rule must figure out how a girl like her and a guy like him are supposed to be together without destroying their love…or each other.', 'Follows Vivien and Roy as their love story continues and leads them to Roy’s childhood home in Sicily to prepare for the sale of the family estate. During the visit, a mysterious woman arrives and befriends Vivien, much to Roy’s displeasure. Tensions build and lines are crossed as secrets from Roy’s past force the couple to face aspects of their relationship they did not know existed.', 'Sonia breaks the perhaps most exciting time of her life, because the 20-year-old moves to Berlin for a mathematics study. Once there, she soon began to build up a new circle of friends, and then she fell in love with the kind, but irresponsible Ladja. There is only one big catch: the dear money is a bit scarce and therefore Sonia one day, financially, but also from curiosity, the path to prostitution. From now on, it leads a brisk double flight, which can fly at any time. Her experiences are ambivalent, as part-time she often gets into difficult situations, but also gets to know nice people, while she enjoys life just as a student. But how long can it maintain the double game?']",Marked Men: Rule + Shaw | Game of Love | Fucking Berlin
17,75,17_earth_massive_asteroid_disaster,"['earth', 'massive', 'asteroid', 'disaster', 'planet', 'ice', 'city', 'weather', 'storms', 'dr']","[""Despite scientist Nathan's warnings, his boss continues an experiment meant as publicity for his satellite firm: exploding an asteroid. Instead it splits, and the major piece, the size of Iceland, changes course to earth. It is deflected but so close that it shift our course closer to the sun, causing rapid extreme heating, hopefully only mid-term. Nathan warns his sister, TV journalist Carly, and she her lover, police detective Tom. He brings his unruly daughter Kim, her ex-con lover C.J. and her mother, nurse Bonnie, when Nathan offers a flight to a friend's Arctic weather station. Tom takes charge of a dangerous trip to the airport, as everywhere on earth things catch fire and people fight for water, transport and sheer looting."", 'Deep underwater in the Marianas Trench an accident results in a devastating Tsunami that destroys the Hawaiian Islands as it continues toward the west coast. Panic ensues all up and down the western coast of North and South America. In an attempt to lessen its impact, scientists launch an underwater explosion that inadvertently makes the tsunami more powerful and focused on Los Angeles. Scientists rush to a solution while the military begins planning for the worst. Los Angeles begins emergency evacuation. Lives and loves are lost even as a brash young grad student comes up with a solution: start the mother of all earthquakes to counter the rushing torrent and raise the continental shelf off the coast of the United States.', ""A deadly meteor storm has been labeled a one-time celestial occurrence, but astrophysicist Steve Thomas believes something worse is yet to come. After discovering his asteroid tracking satellite is secretly being used for military surveillance, Steve leaks the truth to the press, and it costs him his reputation, his job, and his friends. With the backlash of being a whistle-blower, the pressure threatens to tear his family apart, just when Steve discovers a threat to the entire planet: a giant dark asteroid invisible to current detection systems will soon strike the Earth. Barred from using his own satellite to prove the asteroid's existence, Steve is forced to work in the shadows in a desperate attempt to save humanity.""]",Meltdown: Days of Destruction | Disaster Wars: Earthquake vs. Tsunami | Asteroid: Final Impact
18,73,18_shark_sharks_island_ocean,"['shark', 'sharks', 'island', 'ocean', 'sea', 'giant', 'water', 'prehistoric', 'creature', 'crocodile']","['Jackson Slate, famous treasure hunter, is out to find the legendary Lost Gold Of Cortez in the open waters off a secluded island in the Caribbean Sea. Using dynamite to blast his way through centuries of silt, new chasms are created reaching miles below the ancient ocean floor. From here, an ancient evil is released, that quickly, savagely, and without warning, destroys Jackson s boat and kills his crew. The sole survivor of the carnage, Jackson teams up with marine biologist, Sarah, to venture back to the site and investigate the horrific events. They extract an egg from the darkest depths of the ocean and take it back to the lab to investigate. But when it hatches, they realise they have awaken a deadly prehistoric monster, the P-Rex, which will stop at nothing until the entire island is destroyed...', ""Marine biologist Skylar Shane hires an expat charter boat captain, Jack Bowman, to help her find prehistoric life form samples in the north Sumatran Sea. During the expedition, they run into some of Jack's 'friends', a gang of smugglers headquartered on a fishing platform in the middle of the sea. Tamal, an orphan sold into servitude on the fishing platform by his uncle, a 'Dukun' (sorcerer and master of black magic) shaman, begs Skylar to take him away. She empathizes with the boy, who reminds her of her lost daughter, Rebecca, and is determined to help him, not knowing what lurks beneath the dark inky water, waiting to surface. Ever since Tamal arrived, mysterious things begin to happen, until one by one the smugglers will be killed by the terrifying creature from the deep. In the middle of an eerie, violent storm, the animus inside Tamal grows stronger, calling for the ancient creature of his nightmares..."", 'When another Mega Shark returns from the depths of the sea, world militaries go on high alert. Ocean traffic grinds to a standstill as everyone lives in fear of the insatiable beast. Out of options, the US government unleashes the top secret Mecha Shark project -- a mechanical shark built to have the same exact characteristics as Mega. A pair of scientists pilot the mechanical creature as they fight Mega in a pitched battle to save the planet. But when faulty mechanics cause the Mecha to go after humans, the scientists must somehow guide Mega to Mecha in hopes that the two titans will kill each other - or risk untold worldwide destruction.']",Poseidon Rex | Amphibious Creature of the Deep | Mega Shark vs. Mecha Shark
19,70,19_students_college_school_college students,"['students', 'college', 'school', 'college students', 'murders', 'killer', 'evil', 'deaths', 'student', 'weekend']","[""A group of college kids travel to a small, mountain town called Madison County to interview the author of a tell-all book on the accounts of several grisly murders that happened there. But when the kids get to Madison County, the author is no where to be found and the towns people act like they haven't seen him in years. They also say that the killer never existed and the murders never happened. However, when the kids start digging around to get their own answers, they find out that the stories maybe more real than the townspeople are letting on!"", ""Studying under a disciple of\xa0Aleister Crowley, the leader of an upper class group invokes a supernatural force that slowly devours the village of Marienbad and its inhabitants, threatening to spread beyond its geographical limits. The mayor from the town nearby commissions the building of a dam which would flood the valley and therefore submerge the village forever sealing the evil force under water after leader and his followers were incapacitated to be kept from escaping. However, fate ensured the leader's freedom as he remained in the depths when the waters covered Marienbad. Now 40 years later an array of disappearances and deaths in mysterious circumstances are threatening the town next to the reservoir that now covers Marienbad."", ""On the surface it's believed to be another urban legend - a supernatural being from the afterlife is violently killing anyone who cheats on their significant other in the small college town of Silvercreek, Pennsylvania. But the town's unusually high suicide rate is finally convincing both locals and college students that everything is not as it seems. When Maeve - a female college student - sleeps with Charlie, the married man of the host family she is staying with, both sense the deadly curse is closing in on them. Unable to get anyone to believe them, Maeve and Charlie seek out a local history student to help find answers and figure out a way to defend themselves. It all comes undone, however, as several people are horrifically killed by the savage being - one-by-one at a rapid pace. Eventually, Maeve, Charlie and the few survivors band together in an attempt to defeat the monster once and for all.""]",Madison County | Beneath Still Waters | Cheat
20,65,20_special_comedian_outrageous_stand,"['special', 'comedian', 'outrageous', 'stand', 'schumer', 'ta', 'comedy', 'fame', 'guests', 'brent']","[""Roger, a straight-laced politician has big plans to propose to his dream girl at her family's lake house. But everything goes awry when he meets his potential brother-in-law Todd: a full-time camp counselor with a heart of gold and a wild sense of fun, pining to be Roger's best friend, and ultimately catapulting him into a series of unfortunate events. As Roger tries to take a stand amidst outrageous fishing excursions, propulsive water jetpacks and American history-themed musicals, he realizes that being a part of a new family may be more difficult than he'd thought."", 'Seth Rogen and friends combine stand-up, sketches and music for an outrageous comedy special that could only come from the mind of Seth. Guests include Tiffany Haddish, Sarah Silverman, Michelle Wolf, John Mulaney, Michael Che, David Chang, Ike Barinholtz, Chelsea Peretti, Kumail Nanjiani, Jon Lovitz, Jeff Goldblum, Sacha Baron Cohen, Nick Kroll, Post Malone, Chris Hardwick, and Craig Robinson & The Nasty Delicious.', 'A ratings hit! Amy Schumer debuts her one-hour special in front of a live audience at the Historic Fillmore Theatre in San Francisco. Nothing is off limits as Schumer airs every hilarious, messed up detail of her dating and sex life, from encounters with unexpected body parts to hate-filled personal grooming appointments. In her matter-of-fact raunchy style, at odds with her self-described ""Cabbage Patch Kid"" appearance, Schumer tells stories of a boyfriend who makes dirty requests over dinner, the way she outsmarts her birth control, and a shocking ending to a seemingly innocent cab ride.']",Brother Nature | Seth Rogen's Hilarity for Charity | Amy Schumer: Mostly Sex Stuff
21,60,21_special_military_war_special forces,"['special', 'military', 'war', 'special forces', 'terrorist', 'mission', 'veteran', 'gun', 'mercenaries', 'rescue']","['The war in Vietnam is announced to finish. American troops are withdrawn and the relief of peace echoes through the air. However, as the calm after the storm spreads a sigh of relief, there is something unsettling amidst the forests of North Michigan. A disturbed war veteran remains, but he lives for one reason only - to kill. What would happen if six ruthless men stumbled across him in the eerie deserted forest, after their mass bank-robbery leaves them running from the law with three million dollars? Would they be better off facing the cells of prison or can they escape from the murderer out to get them…?', 'Mack is a former soldier who, after the war, moved to a town with a nuclear power plant, where nearly everybody works. Life is peaceful for him there, until a gang of mercenaries led by Ron storm the reactor and take everybody hostage, including a group of children on a school trip. Now Mack is in a race against the clock and must use his military training to defeat Ron before he puts the reactor into meltdown. Along the way he discovers Ron’s motive, which unravels a greater secret Mack’s town is hiding.', ""Mickey Tomlinson, a military chef, attempts the most dangerous military selection known to man: The Special Air Service (S.A.S.) selection. The S.A.S. Is the United Kingdom's most renowned Special Forces Regiment, tasked with life threatening missions in some of the most dangerous places on the planet. Mickey has more military experience than simply being a chef, something he doesn't let on to the other candidates... Mickey is smashed by this selection process - his mind, body and soul scream for mercy as he endures torturous speed-marches over the steepest mountains, running for his life during 'Escape and Evasion' and then facing the most evil interrogation possible, during the deadly phase known as: 'Tactical Questioning.' Even after everything, there is still only one way you can really prove yourself: in combat... Many try to get into the S.A.S. Only the elite make it.""]",Battleground | Deadlock | I Am Soldier
22,59,22_zombie_zombies_infected_virus,"['zombie', 'zombies', 'infected', 'virus', 'undead', 'soldiers', 'base', 'population', 'military', 'survivors']","['In 1968, in the Ravenside Military Hospital in a military facility in Pennsylvania, the army loses control of an experiment of a lethal bacteriologic weapon that changes the DNA and transforms human beings into zombies. A group of soldiers is sent to the hospital to eliminate the infected staff and interns but private DeLuca steals a test tube with the virus and hides it inside a vacuum flask. He is transformed into a zombie and killed but the vacuum flask falls in the grass. In the present days, a group of patients in the mental institution Ravenside Memorial Hospital finds the vacuum flask and later when one of them opens the vessel, the culture tube drops on the floor of a bathroom contaminating the group and their Dr. Donwynn.', '2021 - 5 years after the outbreak of a mysterious virus that turned humans into bloodthirsty, undead beasts much of the world’s population has been decimated. When governments were unable to keep the disease at bay, the Contagion Special Unit was formed with the toughest soldiers and best specialists to fight the infected. Because of the rapidly decreasing number of soldiers, a popular online video game Dead Trigger that mirrors the terrifying events was created. The best efforts of the gamers are monitored by the CSU who recruit the highest rated zombie killers. The young recruits are called “Dead Triggers”. The movie follows a group of young recruits who must travel to the origin of the outbreak to find a missing team of scientists who were searching for a cure.', ""Three months have passed since a viral outbreak wiped out 99.9% of the world's population, turning its victims into flesh-eating living dead. In the UK, a surviving band of soldiers and civilians have taken refuge at a rural military barracks. Life in this new world is tough and brutal, but hope appears when a high level communication is received from a military base on the coast, telling of sanctuary elsewhere in Europe... But just as salvation appears to be in reach, the base suffers an overwhelming defeat at the hands of the living dead! The surviving handful of troops and civilians must now make their way to the coast to uncover the truth behind the message. Their perilous journey takes them across a now treacherous, death-ravaged landscape, where the living dead are vast in number and wandering bandits impose their own malicious sense of law and order. What follows is a journey into hell and a desperate battle against all odds for the very survival of the human race""]",Day of the Dead 2: Contagium | Dead Trigger | The Zombie Diaries 2
23,58,23_recep_france_trip_gigolo,"['recep', 'france', 'trip', 'gigolo', 'patrick', 'arturo', 'naples', 'driver', 'filippo', 'parisian']","['Recep İvedik is at home watching television, when postman brings him a surprise invitation for the annual dried beans festival of Konya province. Very excited with the news, Recep convinces his best friend Nurullah to join him but due to a miscommunication with the travel agency, they get plane tickets for Kenya, Africa, instead of Konya, Turkey. After arriving at Kenya and getting on a safari tour, our hapless companions find themselves lost in endless savannah and at the middle of two rival local tribes. Many adventures await Recep in this unfamiliar and exotic land, who will try anything and everything to return home, mostly to hilarious results.', ""During his visit of condolence to Ismet's funeral, Recep Ivedik feels sorry about Ismet's remaining family members due to his latest unfinished job contract which would cause hard financial situation for the family. Therefore, Recep decides to finish Ismet's last job by replacing himself as a bus driver and to transport group of athletes. Although Recep and his accompanying friend Nurullah were expecting this could be a short trip, they learn that it is not because they have to transport young national athletes to sports organization in a foreign country. This becomes the beginning for them to have irreversible adventure. When they are on the road, unfortunate things happen and crisis appears for the team. Recep, who believes only in victory, takes control of the situation and develops his own methods in order to make the team successful while he face with all funny events."", 'Osman, is a small scale entrepreneur in a middle class neighborhood of Istanbul where he operates from a hangar transformed into an office. He dreams of getting rich through the sales of products imported from the Far East and also self invented products, thus marrying the girl he loves from the neighborhood. The biggest challenge he faces to marry the girl he is in love with is to convince the girls father that he is a successful businessman. Osman believes the only way to do this is making a big breakthrough with his company. He embarks on many adventures to sell his products, all end up in hilarious misfortunes and failures. On his journey to become rich, the only companions he has are Erkan and Songül who is the daughter of a family friend from the neighborhood.  At the end of the day Osman will come to realize that wealth was never far-off.']",Recep Ivedik 6 | Recep Ivedik 5 | Osman Pazarlama
24,53,24_gantz_detective_murder_assassin,"['gantz', 'detective', 'murder', 'assassin', 'kill', 'assassins', 'baron', 'theatrical', 'todd', 'carmen']","[""In Assassin's Bullet, Slater plays Robert Diggs, a black ops agent who comes to work for Ambassador Ashdown (Hunger Games star Donald Sutherland), tracking down a vigilante assassin in Eastern Europe. The maverick hit(wo)man has been taking out high-profile targets on the U.S. hit list, and Diggs must uncover the killer's identity before there's an international incident. The usual game of cat and mouse ensues."", 'Four assassins led by Baron, pose as Secret Service agents to commandeer the house of war-widow ELLEN. Her home is a prime sniper position for their plan to assassinate the President on his visit to the small town of Suddenly. The men fool the local cops except for one, TODD. A washed-up former war hero and deputy who is now the town drunk, Todd served with Ellen’s deceased husband and has developed romantic feelings for her over the years. But she rebuffs his advances. Todd visits the house and is immediately suspicious of Baron, but no one will listen to the ravings of a drunk. Once Todd realizes what is going on, he manages to kill one of Baron’s crew, but is captured. Now he and Ellen must find a way to stop Baron and his men before they kill the President.', 'Before finding out the Perfect Answer, discover Another Gantz. Aired on Nippon Television network before the theatrical release of Gantz: The Perfect Answer, this film is an alternate perspective version of the first Gantz film from the same writing-directing team of the two-part theatrical film. In addition to condensed scenes from the Gantz film, Another Gantz features a new subplot that follows an investigative journalist not included in the theatrical film. Delving deep into the mystery, Another Gantz offers another piece towards solving the complex puzzle that is the world of Gantz.']",Assassin's Bullet | Suddenly | Another Gantz
